x,y
284.0,111.0
282.0,453.0
0.0,0.0
150.0,109.0
448.0,106.0
0.0,0.0
158.0,445.0
443.0,450.0
0.0,0.0
202.0,16.0
225.0,37.0
0.0,0.0
369.0,21.0
385.0,36.0
